name_en,name_ar,description_en,description_ar,navbar_visibility,active,slug
Appliances,الأجهزة,Appliances,الأجهزة,0,1,Appliances
Mobile Phones,أجهزة الموبيل,Mobile Phones,أجهزة الموبيل,0,1,Mobile-Phones-c4
Laptops and Tablets,لابتوب وتابلت,Laptops and Tablets,لابتوب وتابلت,0,1,Laptops-and-Tablets
Computers and Monitors,أجهزة كمبيوتر وشاشات,Computers and Monitors,أجهزة كمبيوتر وشاشات,0,1,Computers-and-Monitors
TV and Home Theaters,تلفزيونات وأنظمة مسرح منزلية,TV and Home Theaters,تلفزيونات وأنظمة مسرح منزلية,0,1,TV-and-Home-Theaters
Game Consoles and Video Games,أجهزة الألعاب وألعاب الفيديو,Game Consoles and Video Games,أجهزة الألعاب وألعاب الفيديو,0,1,Game-Consoles-and-Video-Games
Camera and Photo,الكاميرات,Camera and Photo,الكاميرات,0,1,Camera-and-Photo
Printers and Scanners,طابعات و ناسخات,Printers and Scanners,طابعات و ناسخات,0,1,Printers-and-Scanners
Networking and Office Supplies,شبكات وأجهزة مكتب,Networking and Office Supplies,شبكات وأجهزة مكتب,0,1,Networking-and-Office-Supplies
Wearables and Fitness,الأجهزة القابلة للارتداء واللياقة البدنية,Wearables and Fitness,الأجهزة القابلة للارتداء واللياقة البدنية,0,1,Wearables-and-Fitness
Personal Care and Hygiene,العناية الشخصية والنظافة,Personal Care and Hygiene,العناية الشخصية والنظافة,0,1,Personal-Care-and-Hygiene
Tools & Home Improvements,أدوات و معدات تطوير المنزل,Tools & Home Improvements,أدوات و معدات تطوير المنزل,0,1,Tools
Automotive,السيارات,Automotive,السيارات,0,1,Electronics
