name_en,name_ar,short_description_en,short_description_ar,description_en,description_ar,total_quantity,sku,price,expiry_alarm_before,brand_id,active,free_shipping,allow_review,slug,vendor_id,image_url,final_price
2B Connecting Solutions DC016,2B Connecting Solutions DC016,2B Connecting Solutions DC016,2B Connecting Solutions DC016,Brand: Other<br>Package thickness: 24.2 centimeters<br>Package weight in KGs: 40 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Multi<br>EAN-13: 4892221070162<br>Expirable: <br>Package height: 4.8 centimeters<br>Package Width: 15.6 centimeters<br>Serial Scan Required: <br>Item EAN: 2724259577813<br>,حزمة سمك: 24.2 centimeters<br>وزن الحزمة: 40 grams<br>الشبكة المحلية اللاسلكية: <br>EAN-13: 4892221070162<br>العلامة التجارية: اخرى<br>النوع: كابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724259577813<br>,92,4970310465,70,30,9,1,0,1,2B-Connecting-Solutions-DC016,1,/images/23998/item_XL_213239_366400.jpg,70
2B (DC525) - HyperLink Cat 6 - 30 Meter,2 بي متوافق مع كومبيوتر - بي سي - كوابل,2B (DC525) - HyperLink Cat 6 - 30 Meter,2 بي متوافق مع كومبيوتر - بي سي - كوابل,Brand: 2B<br>Package thickness: 28.4 centimeters<br>Package weight in KGs: 1130 grams<br>Type: Cables<br>Compatible with: Computers - PCs<br>Package height: 14.2 centimeters<br>Package Width: 28 centimeters<br>Item EAN: 2724746934945<br>,حزمة سمك: 28.4 centimeters<br>وزن الحزمة: 1130 grams<br>العلامة التجارية: 2 بي<br>النوع: كوابل<br>متوافق مع: كومبيوتر - بي سي<br>الرقم المميز للسلعة: 2724746934945<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,519,3112196547,98,30,280,1,0,1,2B-DC525-HyperLink-Cat-6-30-Meter,1,/images/23999/item_XXL_46295189_6c5aefa28ea54.jpg,76.44
2B DC117 USB Printer Cable - Gray,2B DC117 USB Printer Cable - Gray,2B DC117 USB Printer Cable - Gray,2B DC117 USB Printer Cable - Gray,Brand: 2B Technology<br>Package thickness: 16.3 centimeters<br>Package weight in KGs: 56 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Printers<br>Expirable: <br>Package height: 1.6 centimeters<br>Package Width: 22.4 centimeters<br>Serial Scan Required: <br>Item EAN: 2724313780227<br>,حزمة سمك: 16.3 centimeters<br>وزن الحزمة: 56 grams<br>الشبكة المحلية اللاسلكية: <br>العلامة التجارية: 2 بي<br>النوع: كابل<br>متوافق مع: الطابعات<br>الرقم المميز للسلعة: 2724313780227<br>,111,3014622586,37,30,691,1,0,1,2B-DC117-USB-Printer-Cable-Gray,1,/images/24000/item_XXL_9306910_10099082.jpg,27.01
"2B   DC086   LAN CABLE Cat.6 , 20m - White","2B   DC086   LAN CABLE Cat.6 , 20m - White","2B   DC086   LAN CABLE Cat.6 , 20m - White","2B   DC086   LAN CABLE Cat.6 , 20m - White",Brand: 2B<br>Type: Cables<br>Compatible with: Multi<br>Item EAN: 2724701172429<br>,العلامة التجارية: تو بي<br>النوع: كوابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724701172429<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,99,4274319234,185,30,280,1,0,1,2B-DC086-LAN-CABLE-Cat-6-20m-White,1,/images/24001/item_XXL_41967813_5b7dd5e08bf85.jpg,151.7
"2B Dc085 Hyperlink Lan Cable , White",كابل لان هايبرلينك من تو بي Dc085 ، أبيض,"2B Dc085 Hyperlink Lan Cable , White",كابل لان هايبرلينك من تو بي Dc085 ، أبيض,Brand: 2B Technology<br>Package thickness: 4.9 centimeters<br>Package weight in KGs: 220 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Routers<br>EAN-13: 4892221070858<br>Expirable: <br>Package height: 0.5 centimeters<br>Package Width: 9.9 centimeters<br>Serial Scan Required: <br>Item EAN: 2724337135829<br>,حزمة سمك: 4.9 centimeters<br>وزن الحزمة: 220 grams<br>الشبكة المحلية اللاسلكية: <br>EAN-13: 4892221070858<br>العلامة التجارية: تو بي<br>النوع: كابل<br>متوافق مع: اجهزة راوتر<br>الرقم المميز للسلعة: 2724337135829<br>,100,8045781250,97,30,691,1,0,1,2B-Dc085-Hyperlink-Lan-Cable-White,1,/images/24002/item_XXL_11550623_16424579.jpg,75.66
"2B Dc026 USB To Printer Cable , Black",كابل يو اس بي إلى طابعة من تو بي Dc026 ، أسود,"2B Dc026 USB To Printer Cable , Black",كابل يو اس بي إلى طابعة من تو بي Dc026 ، أسود,Brand: 2B Technology<br>Package thickness: 22 centimeters<br>Package weight in KGs: 288 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Laptops & Notebooks<br>Expirable: <br>Package height: 4.6 centimeters<br>Package Width: 17.2 centimeters<br>Serial Scan Required: <br>Item EAN: 2724337135782<br>,حزمة سمك: 22 centimeters<br>وزن الحزمة: 288 grams<br>الشبكة المحلية اللاسلكية: <br>العلامة التجارية: تو بي<br>النوع: كابل<br>متوافق مع: اجهزة لابتوب ونوت بوك<br>الرقم المميز للسلعة: 2724337135782<br>,98,7746043774,135,30,691,1,0,1,2B-Dc026-USB-To-Printer-Cable-Black,1,/images/24003/item_XXL_11550619_16424575.jpg,106.65
2B Printer Cable - 10m - DC027,كابل توصيل طابعة/كمبيوتر من تو بي - 10 متر - DC027,2B Printer Cable - 10m - DC027,كابل توصيل طابعة/كمبيوتر من تو بي - 10 متر - DC027,Brand: 2B<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Printers<br>Item EAN: 2724611214424<br>,الشبكة المحلية اللاسلكية: <br>العلامة التجارية: تو بي<br>النوع: كوابل<br>متوافق مع: الطابعات<br>الرقم المميز للسلعة: 2724611214424<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,99,2898754221,250,30,280,1,0,1,2B-Printer-Cable-10m-DC027,1,/images/24004/item_XXL_33981348_132540129.jpg,182.5
"2B Cv876 Hdmi Cable , Black",كابل اتش دي ام اي من تو بي Cv876 ، اسود,"2B Cv876 Hdmi Cable , Black",كابل اتش دي ام اي من تو بي Cv876 ، اسود,Brand: 2B Technology<br>Package thickness: 10.4 centimeters<br>Package weight in KGs: 2160 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Multi<br>EAN-13: 4892221008769<br>Expirable: <br>Package height: 2 centimeters<br>Package Width: 10.2 centimeters<br>Serial Scan Required: <br>Item EAN: 2724337135607<br>,حزمة سمك: 10.4 centimeters<br>وزن الحزمة: 2160 grams<br>الشبكة المحلية اللاسلكية: <br>EAN-13: 4892221008769<br>العلامة التجارية: تو بي<br>النوع: كابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2724337135607<br>,88,4890827032,549,30,691,1,0,1,2B-Cv876-Hdmi-Cable-Black,1,/images/24006/item_XXL_11550601_16424557.jpg,549
2B DC077 USB 3.0 Printing Cable 1.5M Blue,2B DC077 USB 3.0 Printing Cable 1.5M Blue,2B DC077 USB 3.0 Printing Cable 1.5M Blue,2B DC077 USB 3.0 Printing Cable 1.5M Blue,Brand: 2B<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Printers<br>Item EAN: 2724462539288<br>,الشبكة المحلية اللاسلكية: <br>العلامة التجارية: 2 بي<br>النوع: كابل<br>متوافق مع: الطابعات<br>الرقم المميز للسلعة: 2724462539288<br>,123,5502128337,72,30,280,1,0,1,2B-DC077-USB-3-0-Printing-Cable-1-5M-Blue,1,/images/24007/item_XXL_23570566_33760585.jpg,56.16
E-train (DC470) - VGA15M/15M -15 Meter,اي ترين DC470 كابل VGA15M/15M - طوله 15 متر,E-train (DC470) - VGA15M/15M -15 Meter,اي ترين DC470 كابل VGA15M/15M - طوله 15 متر,Brand: E-train<br>Package thickness: 9.3 centimeters<br>Package weight in KGs: 3400 grams<br>Type: Cables<br>Compatible with: Computers - PCs<br>Expirable: <br>Package height: 3.2 centimeters<br>Package Width: 9.3 centimeters<br>Serial Scan Required: <br>Item EAN: 2725324947081<br>,حزمة سمك: 9.3 centimeters<br>وزن الحزمة: 3400 grams<br>العلامة التجارية: اي ترين<br>النوع: كوابل<br>متوافق مع: كومبيوتر - بي سي<br>الرقم المميز للسلعة: 2725324947081<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,99,5432664372,118,30,344,1,0,1,E-train-DC470-VGA15M-15M-15-Meter,1,/images/24009/item_XXL_103814901_3618db4b98fc4.jpg,92.04
"E-Train Dc220 Network Cable , White",كابل شبكة من اي تراين Dc220 ، أبيض,"E-Train Dc220 Network Cable , White",كابل شبكة من اي تراين Dc220 ، أبيض,Brand: E-Train<br>Package thickness: 18 centimeters<br>Package weight in KGs: 522 grams<br>Type: Cables<br>Wireless LAN: <br>Compatible with: Routers<br>EAN-13: 4892221072203<br>Expirable: <br>Package height: 6.6 centimeters<br>Package Width: 14.8 centimeters<br>Serial Scan Required: <br>Item EAN: 2724337135744<br>,حزمة سمك: 18 centimeters<br>وزن الحزمة: 522 grams<br>الشبكة المحلية اللاسلكية: <br>EAN-13: 4892221072203<br>العلامة التجارية: اي تراين<br>النوع: كابل<br>متوافق مع: اجهزة راوتر<br>الرقم المميز للسلعة: 2724337135744<br>,97,4848550632,71.73,30,344,1,0,1,E-Train-Dc220-Network-Cable-White,1,/images/24010/item_XXL_11550615_16424572.jpg,53.08
Etrain Dc-22-2 Network Lan Cable 20 Meter,كابل لشبكة لان من اي تراين، 20 متر Dc-22-2,Etrain Dc-22-2 Network Lan Cable 20 Meter,كابل لشبكة لان من اي تراين، 20 متر Dc-22-2,Brand: E-Train<br>Package thickness: 18 centimeters<br>Package weight in KGs: 850 grams<br>Type: Adapters<br>Wireless LAN: <br>Compatible with: Laptops & Notebooks<br>EAN-13: 4892221072227<br>Expirable: <br>Package height: 6 centimeters<br>Package Width: 18.2 centimeters<br>Serial Scan Required: <br>Item EAN: 2724332730708<br>,حزمة سمك: 18 centimeters<br>وزن الحزمة: 850 grams<br>الشبكة المحلية اللاسلكية: <br>EAN-13: 4892221072227<br>العلامة التجارية: اي تراين<br>النوع: محولات<br>متوافق مع: اجهزة لابتوب ونوت بوك<br>الرقم المميز للسلعة: 2724332730708<br>,99,9414072103,49,30,344,1,0,1,Etrain-Dc-22-2-Network-Lan-Cable-20-Meter,1,/images/24011/item_XXL_11135773_15390449.jpg,34.3
2B (DC088 ) USB Printing cable a/B - 1.5M - Black,2 بي متوافق مع متعدد - كوابل,2B (DC088 ) USB Printing cable a/B - 1.5M - Black,2 بي متوافق مع متعدد - كوابل,Brand: 2B<br>Package thickness: 16.3 centimeters<br>Package weight in KGs: 72 grams<br>Type: Cables<br>Compatible with: Multi<br>Expirable: <br>Package height: 2.9 centimeters<br>Package Width: 29.4 centimeters<br>Serial Scan Required: <br>Item EAN: 2725594832674<br>,حزمة سمك: 16.3 centimeters<br>وزن الحزمة: 72 grams<br>العلامة التجارية: 2 بي<br>النوع: كوابل<br>متوافق مع: متعدد<br>الرقم المميز للسلعة: 2725594832674<br>هل يتطلب هذا المنتج بطارية او يحتوي بطارية: <br>,98,8540650015,33,30,280,1,0,1,2B-DC088-USB-Printing-cable-a-B-1-5M-Black,1,/images/24012/item_XXL_130706974_dab0b46a86531.jpg,26.4
