name_en,name_ar,description_en,description_ar,sub_category_id,slug
Air Conditioners & Coolers,مكيفات هواء,Air Conditioners & Coolers,مكيفات هواء,6,Air-Conditioners-Coolers
Computer & Laptop Accessories,اكسسوارات كمبيوتر و لاب توب,Computer & Laptop Accessories,اكسسوارات كمبيوتر و لاب توب,18,Computer-Laptop-Accessories
Mouse,ماوس,Mouse,ماوس,18,Mouse
Keyboards,لوحات المفاتيح,Keyboards,لوحات المفاتيح,18,Keyboards
Projectors Accessories,اكسسوارات أجهزة عرض,Projectors Accessories,اكسسوارات أجهزة عرض,18,Projectors-Accessories
Webcams,كاميرات الويب,Webcams,كاميرات الويب,18,Webcams
Headphones & Headsets,السماعات,Headphones & Headsets,السماعات,18,Headphones-Headsets
Speakers,سماعات عالية الصوت,Speakers,سماعات عالية الصوت,18,Speakers
Games Gadgets & Accessories,اكسسوارات ألعاب الكترونية,Games Gadgets & Accessories,اكسسوارات ألعاب الكترونية,18,Games-Gadgets-Accessories
Cable,كابل,Cable,كابل,18,Cable
Camera and camcorder Accessories,اكسسوارات كاميرات و فيديوهات رقمية,Camera and camcorder Accessories,اكسسوارات كاميرات و فيديوهات رقمية,9,Camera-and-camcorder-Accessories
Projectors,أجهزة عرض,Projectors,أجهزة عرض,18,Projectors
Chargers,شواحن,Chargers,شواحن,9,Chargers
Printers,طابعات,Printers,طابعات,16,Printers
Digital Cameras,كاميرات رقمية,Digital Cameras,كاميرات رقمية,9,Digital-Cameras
Batteries,بطاريات,Batteries,بطاريات,17,Batteries
Security & Surveillance Systems,أنظمة حماية و ترصد,Security & Surveillance Systems,أنظمة حماية و ترصد,17,Security-Surveillance-Systems
Analogue Cameras,كاميرات تصوير بالأفلام,Analogue Cameras,كاميرات تصوير بالأفلام,9,Analogue-Cameras
"Car speakers, Sub-woofers and Amplifiers",سماعات سيارات، مكبرات صوت فرعية و مكبرات صوت,"Car speakers, Sub-woofers and Amplifiers",سماعات سيارات، مكبرات صوت فرعية و مكبرات صوت,10,Car-speakers-Sub-woofers-and-Amplifiers
Car Audio,أنظمة صوت سيارات,Car Audio,أنظمة صوت سيارات,10,Car-Audio
Fax Machines and Shredders,فاكسات و ممزقات الورق,Fax Machines and Shredders,فاكسات و ممزقات الورق,16,Fax-Machines-and-Shredders
Washing Machines,غسالات,Washing Machines,غسالات,6,Washing-Machines
Dishwashers,غسالات الصحون,Dishwashers,غسالات الصحون,6,Dishwashers
Refrigerators & Freezers,ثلاجات و مجمدات,Refrigerators & Freezers,ثلاجات و مجمدات,6,Refrigerators-Freezers
Water Coolers & Dispensers,مبرادت المياه,Water Coolers & Dispensers,مبرادت المياه,6,Water-Coolers-Dispensers
Irons,مكاوي كهربائية,Irons,مكاوي كهربائية,11,Irons
Vacuum Cleaners,مكانس كهربائية,Vacuum Cleaners,مكانس كهربائية,11,Vacuum-Cleaners
Water Heaters,سخانات الماء,Water Heaters,سخانات الماء,6,Water-Heaters
Heaters,مدافئ و سخانات,Heaters,مدافئ و سخانات,6,Heaters
Satellite Receivers,أجهزة استقبال القنوات الفضائية - ستالايت,Satellite Receivers,أجهزة استقبال القنوات الفضائية - ستالايت,7,Satellite-Receivers
TV and Satellite Accessories,اكسسوارات تلفزيون و أجهزة استقبال,TV and Satellite Accessories,اكسسوارات تلفزيون و أجهزة استقبال,7,TV-and-Satellite-Accessories
Universal Remote Controls,(أجهزة التحكم عن بعد (ريموت كنترول,Universal Remote Controls,(أجهزة التحكم عن بعد (ريموت كنترول,7,Universal-Remote-Controls
TV Mounts,حوامل لتلفاز,TV Mounts,حوامل لتلفاز,7,TV-Mounts
Televisions,تلفزيونات,Televisions,تلفزيونات,35,Televisions
Home Theater Systems,أنظمة مسرح منزلية,Home Theater Systems,أنظمة مسرح منزلية,36,Home-Theater-Systems
Fans,مراوح,Fans,مراوح,11,Fans
Kitchen Accessories,اكسسوارات المطبخ,Kitchen Accessories,اكسسوارات المطبخ,11,Kitchen-Accessories
Camping Goods,مستلزمات التخييم,Camping Goods,مستلزمات التخييم,17,Camping-Goods
Drinkware,أكواب و أدوات الشرب,Drinkware,أكواب و أدوات الشرب,17,Drinkware
Light Bulbs,لمبات,Light Bulbs,لمبات,11,Light-Bulbs
"Ovens, Ranges & Stoves",أفران,"Ovens, Ranges & Stoves",أفران,11,Ovens-Ranges-Stoves
Blenders & Mixers,خلاطات,Blenders & Mixers,خلاطات,11,Blenders-Mixers
Food Processors,أجهزة معالجة الطعام,Food Processors,أجهزة معالجة الطعام,11,Food-Processors
Food Preparation,محضرات الأطعمة,Food Preparation,محضرات الأطعمة,11,Food-Preparation
Coffee & Espresso Makers,ماكنات اعداد المشروبات الساخنة,Coffee & Espresso Makers,ماكنات اعداد المشروبات الساخنة,11,Coffee-Espresso-Makers
Toasters,أجهزة تحميص,Toasters,أجهزة تحميص,11,Toasters
Microwaves,ميكرويف,Microwaves,ميكرويف,11,Microwaves
Sandwich & Waffle Makers,محضرات الساندويشات و الوفل,Sandwich & Waffle Makers,محضرات الساندويشات و الوفل,11,Sandwich-Waffle-Makers
Kettles,غلايات,Kettles,غلايات,11,Kettles
Range Hoods,مداخن و شفاطات افران,Range Hoods,مداخن و شفاطات افران,11,Range-Hoods
Specialty Kitchen Appliances,أجهزة مطبخ خاصة,Specialty Kitchen Appliances,أجهزة مطبخ خاصة,11,Specialty-Kitchen-Appliances
Electric Meat Grinders,مقطعات اللحوم الكهربائية,Electric Meat Grinders,مقطعات اللحوم الكهربائية,11,Electric-Meat-Grinders
Dryers,نشافات و حماصات,Dryers,نشافات و حماصات,6,Dryers
Kitchen Scales,موازين مطبخ,Kitchen Scales,موازين مطبخ,11,Kitchen-Scales
Fryers,مقالي كهربائية,Fryers,مقالي كهربائية,11,Fryers
Juicers & Presses,عصارات,Juicers & Presses,عصارات,11,Juicers-Presses
Bakeware & Accessories,أدوات و مستلزمات الخبز,Bakeware & Accessories,أدوات و مستلزمات الخبز,11,Bakeware-Accessories
Rice Cooker,أجهزة طبخ الأرز,Rice Cooker,أجهزة طبخ الأرز,11,Rice-Cooker
Stereo Systems and Equalizers,أنظمة ستيريو و معدلات صوت,Stereo Systems and Equalizers,أنظمة ستيريو و معدلات صوت,7,Stereo-Systems-and-Equalizers
Amplifiers and Receivers,مكبرات صوت وأجهزة الاستقبال,Amplifiers and Receivers,مكبرات صوت وأجهزة الاستقبال,7,Amplifiers-and-Receivers
Power Banks,باور بانك,Power Banks,باور بانك,13,Power-Banks
